text,created_at,retweet_count,is_retweet
THANK GOD FOR TRUCKERS! https://t.co/PNLPAkhNUK,04-17-2020 02:05:53,45503,FALSE
https://t.co/lmb1H6I6en,04-16-2020 23:24:57,36470,FALSE
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/NB3LRIZHI7,04-16-2020 22:07:00,9293,TRUE
Crazy Nancy Pelosi deleted this from her Twitter account. She wanted everyone to pack into Chinatown long after I closed the BORDER TO CHINA. Based on her statement she is responsible for many deaths. She’s an incompetent third-rate politician! https://t.co/uWNI7DCG3o,04-16-2020 18:24:30,97288,FALSE
Major News Conference tonight the White House at 6:00 P.M. (Eastern) to explain Guidelines for OPENING UP AMERICA AGAIN!,04-16-2020 18:18:46,38300,FALSE
Democrats are blocking additional funding for the popular Paycheck Protection Program. They are killing American small businesses. Stop playing politics Dems! Support Refilling PPP NOW – it is out of funds!,04-16-2020 17:11:42,47930,FALSE
Crazy “Nancy Pelosi you are a weak person. You are a poor leader. You are the reason America hates career politicians like yourself.” @seanhannity She is totally incompetent &amp; controlled by the Radical Left a weak and pathetic puppet. Come back to Washington and do your job!,04-16-2020 13:33:08,70057,FALSE
.@OANN Poll “Gives President Trump a 52% Approval Rating in North Carolina and a seven point lead over (Sleepy) Joe Biden. The President also helps other Republican Candidates including @SenThomTillis who has a 4% lead over his Democrat rival.”,04-16-2020 13:12:40,23798,FALSE
RT @WhiteHouse: The Federal government has ordered and shipped hundreds of millions of PPE items around the country. https://t.co/bVD3SyuXas,04-15-2020 22:51:36,11097,TRUE
RT @WhiteHouse: In 11 days @GM sourced materials transformed a manufacturing facility and trained a workforce to build lifesaving ventil…,04-15-2020 22:51:22,10248,TRUE
RT @WhiteHouse: We are using every available authority to accelerate the development study and delivery of therapies. https://t.co/GKbkUd…,04-15-2020 22:51:20,9674,TRUE
RT @WhiteHouse: To date more than 3.3 million Coronavirus tests have been completed and 48 different tests have been authorized. https://t…,04-15-2020 22:51:14,9130,TRUE
